354,Ganesh,img/vratham/ganesh.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Ganesh,active,img/ganesh.jpg
355,Brahma,img/vratham/brahama.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Brahma,active,img/brahama.jpg
356,Vishnu,img/vratham/vishnu.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Vishnu,active,img/Vishnu.jpg
357,Shiva,img/vratham/shiva.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Shiva,active,img/siva.jpg
358,Sri Rama,img/vratham/rama.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Sri Rama,active,img/rama.jpg
359,Sri Krishna,img/vratham/krishna.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Sri Krishna,active,img/krishna.jpg
360,"Venkateswara ",img/vratham/lord-venkateshwara.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Venkateswara,active,img/balaji.jpg
361,Sriranga Swamy,img/vratham/Ranganathaswamy.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Sriranga Swamy,active,img/Ranganadha.jpg
362,Ayyappa Swamy,img/vratham/ayyapa.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Ayyappa Swamy,active,img/Ayyappa.jpg)
363,Hanuman,img/vratham/hanuman.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Hanuman,active,img/hanuman.jpg
364,Dakshina Murthy,img/vratham/Dakshina.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Dakshina Murthy,active,img/Dakshina.jpg
365,Panduranga,img/vratham/Panduranga.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Panduranga,active,img/Panduranga.jpg
366,Kubera,img/vratham/Kubera.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Kubera,active,img/kubera.jpg
367,Lakshmi Narasimha Swamy,img/vratham/narasimha.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Lakshmi Narasimha Swamy,active,img/Lakshmi_Narasimha_Swamy.jpg
368,Murugan,img/vratham/Murugan.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Murugan,active,img/murugan.jpg
369,Lakshmi Devi,img/vratham/lakshmi.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Lakshmi Devi,active,img/lakshmi.jpg
370,Durga Devi,img/vratham/Durga-mata.jpg,GOD & GODDESS,mantras_stotram.aspx?godname=Durga Devi,active,img/durga.jpg
